Kabupaten/Kota,Luas Panen Tanaman Padi (ha) (Ha),Produktivitas Tanaman Padi (ku/ha) (Ku/ha),Rekap Produksi Padi (ton) (Ton)
Bogor,56002.23,53.55,299893.8
Sukabumi,95012.99,53.49,508220.48
Cianjur,115877.18,53.33,617941.03
Bandung,47537.79,60.84,289205.7
Garut,75951.04,58.11,441316.2
Tasikmalaya,81310.17,53,430961.73
Ciamis,55844.25,54.74,305676.17
Kuningan,48250.13,57.53,277583.76
Cirebon,84892.18,58.27,494699.98
Majalengka,100950.53,56.08,566087.34
Sumedang,56662.01,52.62,298163
Indramayu,245329.29,60.42,1482255.86
Subang,177986.35,58.36,1038780.58
Purwakarta,34396.95,54.87,188731.69
Karawang,204326.26,60.05,1226880.08
Bekasi,103088.97,53.91,555747.09
Bandung Barat,29201.93,52.62,153648.29
Pangandaran,30115.9,49.37,148670.61
Kota Bogor,32.21,54.02,173.99
Kota Sukabumi,2176.04,60.91,13254.34
Kota Bandung,995.22,72.21,7186.11
Kota Cirebon,159.8,53.93,861.82
Kota Bekasi,454.07,41.15,1868.44
Kota Depok,14.55,49.57,72.13
Kota Cimahi,59.59,56.73,338.03
Kota Tasikmalaya,9797.97,55.35,54233.66
Kota Banjar,5978.36,52.31,31271.18
Jawa Barat,1662403.96,56.75,9433723.09
,,,
Catatan,,,
<sup>1</sup> Kualitas produksi gabah kering giling (GKG)/<i>The production form is dry unhusked paddy</i><sup>2</sup> Data masih bergabung dengan Provinsi Papua Barat/<i>The data were included in Papua Barat Province</i><sup>3</sup> Data masih bergabung dengan Provinsi Papua/<i>The data were included in Papua Province</i>,,,
