Kabupaten/Kota,Luas Panen Tanaman Padi (ha) (Ha),Produktivitas Tanaman Padi (ku/ha) (Ku/ha),Rekap Produksi Padi (ton) (Ton)
Bogor,50999.48,55.54,283266.58
Sukabumi,93866.34,54.59,512391.58
Cianjur,115749.72,56.17,650123.11
Bandung,49366.27,60.8,300142.89
Garut,74538.34,60.88,453787.94
Tasikmalaya,69685.72,56.16,391379.69
Ciamis,53976.46,55.42,299124.49
Kuningan,44815.65,58.24,261023.34
Cirebon,82797.11,59.89,495878.2
Majalengka,100124.09,55.77,558430.27
Sumedang,53525.51,53.64,287112.51
Indramayu,230456.96,61.8,1424303.1
Subang,174864.99,58.77,1027659.54
Purwakarta,31884.84,58.5,186533.23
Karawang,189064.62,59.87,1131976.57
Bekasi,93338.02,53.28,497339.49
Bandung Barat,26709.13,53.62,143212.52
Pangandaran,30250.9,46.05,139300.3
Kota Bogor,25.76,47.99,123.61
Kota Sukabumi,2699.69,59.96,16187.08
Kota Bandung,901.17,70.19,6325.63
Kota Cirebon,137.1,56.12,769.39
Kota Bekasi,306.86,42.9,1316.49
Kota Depok,5.82,52.42,30.51
Kota Cimahi,76.61,57.5,440.48
Kota Tasikmalaya,7863.88,50.83,39968.81
Kota Banjar,5625.24,56.69,31891.85
Jawa Barat,1583656.28,57.71,9140039.2
