Kabupaten/Kota,,,,,,,
,Rata-rata Konsumsi Perkapita Seminggu Menurut Kelompok Padi-Padian Per Kabupaten/kota (Satuan Komoditas),,,,,,
,PADI-PADIAN,"Beras (beras lokal, kualitas unggul, impor)",Beras ketan,Jagung basah dengan kulit,Jagung pipilan/beras jagung/jagung titil,Tepung terigu,Padi-padian lainnya
,2022,2022,2022,2022,2022,2022,2022
Simeulue,0,2.075,0.022,0.002,-,0.014,-
Aceh Singkil,0,1.621,0.007,0.057,0,0.059,0
Aceh Selatan,0,1.905,0.004,0.019,0.001,0.015,-
Aceh Tenggara,0,1.972,0.003,0.012,-,0.003,-
Aceh Timur,0,1.642,0.014,0.021,0.007,0.034,0
Aceh Tengah,0,1.681,0.009,0.024,0.001,0.032,-
Aceh Barat,0,1.522,0.008,0.036,0.003,0.013,0.003
Aceh Besar,0,1.537,0.003,0.025,0.003,0.025,0.001
Pidie,0,2.018,0.007,0.014,0,0.012,0
Bireuen,0,1.563,0.008,0.045,0.001,0.017,0.001
Aceh Utara,0,1.662,0.005,0.011,-,0.021,-
Aceh Barat Daya,0,1.833,0.014,0.033,0,0.009,-
Gayo Lues,0,2.097,0.027,0.046,0.015,0.022,0
Aceh Tamiang,0,1.517,0.002,0.009,0.002,0.031,0.002
Nagan Raya,0,1.871,0.023,0.04,0.002,0.033,0
Aceh Jaya,0,1.901,0.011,0.047,0.001,0.017,0.001
Bener Meriah,0,2.011,0.013,0.008,0.002,0.025,0
Pidie Jaya,0,1.986,0.006,0.026,0.004,0.019,0
Kota Banda Aceh,0,1.131,0.004,0.031,0,0.033,0.004
Kota Sabang,0,1.428,0.008,0.028,0.001,0.022,0
Kota Langsa,0,1.283,0.002,0.016,-,0.019,0.002
Kota Lhokseumawe,0,1.368,0.004,0.024,0,0.019,-
Kota Subulussalam,0,1.733,0.003,0.019,0.01,0.025,0.001
Nias,0,2.285,0.002,0.002,0,0.018,-
Mandailing Natal,0,2.133,0.002,0.007,0.002,0.007,-
Tapanuli Selatan,0,2.162,0.004,0.029,0.001,0.01,-
Tapanuli Tengah,0,1.938,0.001,0.012,0.001,0.006,-
Tapanuli Utara,0,2.112,0.008,0.012,-,0.016,-
Toba Samosir,0,1.885,0.002,0.01,0.008,0.012,-
Labuhan Batu,0,1.796,0.008,0.006,-,0.015,-
Asahan,0,1.507,0.015,0.019,0.001,0.034,0.004
Simalungun,0,1.658,0.005,0.021,0.002,0.014,0.002
Dairi,0,2.039,0.002,0.003,-,0.005,0.001
Karo,0,1.992,0.004,0.004,0.002,0.007,-
Deli Serdang,0,1.631,0.007,0.02,0.006,0.035,0
Langkat,0,1.585,0.003,0.024,0.005,0.041,0
Nias Selatan,0,2.574,0.002,-,-,0.016,-
Humbang Hasundutan,0,2.269,0.003,0.005,0.002,0.007,-
Pakpak Bharat,0,2.078,0.009,0.007,-,0.022,0.001
Samosir,0,2.008,0.003,0.006,-,0.014,-
Serdang Bedagai,0,1.559,0.003,0.018,0.001,0.025,0.002
Batu Bara,0,1.539,0.002,0.021,0,0.022,0.002
Padang Lawas Utara,0,2.371,0.001,0.004,0.002,0.015,-
Padang Lawas,0,2.102,0.003,0.01,0,0.014,0
Labuhan Batu Selatan,0,1.753,-,0.009,0.004,0.021,0.001
Labuhan Batu Utara,0,1.649,0.002,0.019,0.004,0.02,0
Nias Utara,0,2.538,0.002,0.006,0.001,0.009,-
Nias Barat,0,2.497,0,-,-,0.006,-
Kota Sibolga,0,1.454,0.001,0.003,-,0.005,-
Kota Tanjung Balai,0,1.511,0.001,0.022,-,0.021,0.004
Kota Pematang Siantar,0,1.438,0.003,0.02,0.001,0.014,0.001
Kota Tebing Tinggi,0,1.432,0.004,0.016,-,0.02,-
Kota Medan,0,1.448,0.002,0.027,0.001,0.021,0.001
Kota Binjai,0,1.427,0.002,0.018,0,0.019,-
Kota Padangsidimpuan,0,1.627,0.006,0.016,0.001,0.004,0.001
Kota Gunungsitoli,0,2.135,0.001,0.003,-,0.012,0
Kepulauan Mentawai,0,1.287,0.01,0.005,0,0.061,0.001
Pesisir Selatan,0,1.622,0.016,0.009,0.004,0.013,0.001
Solok,0,2.004,0.008,0.053,0.007,0.022,0.002
Sijunjung,0,1.702,0.005,0.023,0,0.02,0
Tanah Datar,0,1.656,0.001,0.008,0.003,0.011,0.001
Padang Pariaman,0,1.521,0.002,0.003,0,0.011,0
Agam,0,1.703,0.003,0.006,0.001,0.021,0.002
Lima Puluh Kota,0,1.766,0.002,0.007,-,0.008,0.001
Pasaman,0,2.094,0.003,0.025,-,0.01,0.002
Solok Selatan,0,1.897,0.011,0.034,0,0.028,0.001
Dharmasraya,0,1.386,0.003,0.011,0.002,0.028,0.001
Pasaman Barat,0,2.095,0.004,0.009,0.001,0.01,0
Kota Padang,0,1.338,0.003,0.018,0,0.021,0.001
Kota Solok,0,1.479,0.003,0.011,0.001,0.021,0.001
Kota Sawah Lunto,0,1.463,0.002,0.016,0,0.029,0.001
Kota Padang Panjang,0,1.328,0.001,0.013,0.001,0.022,0
Kota Bukittinggi,0,1.257,0.004,0.021,0.003,0.015,0
Kota Payakumbuh,0,1.334,0.007,0.008,0.001,0.014,0.001
Kota Pariaman,0,1.229,0.001,0.001,0,0.017,0.003
Kuantan Singingi,0,1.435,0.005,0.031,0.002,0.046,-
Indragiri Hulu,0,1.401,0.018,0.019,0.007,0.032,0.002
Indragiri Hilir,0,1.346,0.009,0.027,0.003,0.083,0.003
