Kabupaten/Kota,,,,,,,
,Rata-rata Konsumsi Perkapita Seminggu Menurut Kelompok Padi-Padian Per Kabupaten/kota (Satuan Komoditas),,,,,,
,PADI-PADIAN,"Beras (beras lokal, kualitas unggul, impor)",Beras ketan,Jagung basah dengan kulit,Jagung pipilan/beras jagung/jagung titil,Tepung terigu,Padi-padian lainnya
,2023,2023,2023,2023,2023,2023,2023
Simeulue,0,2.046,0.017,0.006,-,0.004,-
Aceh Singkil,0,1.711,0.011,0.021,0.006,0.064,0.001
Aceh Selatan,0,1.831,0.014,0.023,0.001,0.009,0.001
Aceh Tenggara,0,2.09,0.008,0.003,-,0.007,0.001
Aceh Timur,0,1.716,0.009,0.019,0.003,0.019,0
Aceh Tengah,0,1.71,0.006,0.017,0.002,0.024,0
Aceh Barat,0,1.525,0.006,0.031,0.003,0.006,-
Aceh Besar,0,1.658,0.004,0.022,0.001,0.021,0.002
Pidie,0,1.983,0.012,0.013,0,0.017,0.001
Bireuen,0,1.664,0.004,0.02,0,0.008,0.001
Aceh Utara,0,1.507,0.032,0.024,0.004,0.044,-
Aceh Barat Daya,0,1.757,0.008,0.038,0,0.019,0.001
Gayo Lues,0,2.199,0.034,0.032,0,0.024,-
Aceh Tamiang,0,1.375,0.004,0.012,0.004,0.041,0.001
Nagan Raya,0,1.734,0.039,0.081,0.005,0.079,0.007
Aceh Jaya,0,1.963,0.006,0.051,0.004,0.01,0.002
Bener Meriah,0,1.732,0.014,0.018,0.003,0.062,0.001
Pidie Jaya,0,1.768,0.008,0.032,0.001,0.018,0.001
Kota Banda Aceh,0,1.204,0.002,0.03,0.002,0.017,0.001
Kota Sabang,0,1.536,0.001,0.019,-,0.015,-
Kota Langsa,0,1.276,0.001,0.008,-,0.01,0.001
Kota Lhokseumawe,0,1.296,0.003,0.018,0,0.016,-
Kota Subulussalam,0,1.816,0.003,0.01,0.019,0.032,-
Nias,0,2.484,0.002,0.001,-,0.008,0
Mandailing Natal,0,2.228,0,0.009,0.001,0.01,-
Tapanuli Selatan,0,2.151,0.002,0.007,-,0.012,-
Tapanuli Tengah,0,1.888,0.001,0.005,-,0.009,0
Tapanuli Utara,0,2.018,0.002,0.012,0.002,0.017,-
Toba Samosir,0,2.077,0.002,0.018,-,0.013,0.004
Labuhan Batu,0,1.725,0.001,0.025,0.001,0.038,0.001
Asahan,0,1.486,0.006,0.021,0.009,0.027,0.002
Simalungun,0,1.651,0.003,0.033,0.006,0.029,0.001
Dairi,0,1.989,0.004,0.005,-,0.005,0
Karo,0,2.056,0.016,0.019,-,0.013,-
Deli Serdang,0,1.553,0.007,0.026,0.002,0.025,0.001
Langkat,0,1.55,0.005,0.016,0.003,0.043,0.003
Nias Selatan,0,2.473,0,-,-,0.009,-
Humbang Hasundutan,0,2.304,0.001,0.004,0.001,0.015,-
Pakpak Bharat,0,2.108,0.011,0.009,0.001,0.017,-
Samosir,0,2.213,0.001,0.006,0.002,0.017,-
Serdang Bedagai,0,1.672,0.014,0.016,0.005,0.028,0
Batu Bara,0,1.501,0.006,0.014,0.003,0.023,0.003
Padang Lawas Utara,0,2.41,0.001,0.002,0,0.014,-
Padang Lawas,0,2.012,0.003,0.014,-,0.016,-
Labuhan Batu Selatan,0,1.715,0.01,0.003,0,0.036,0
Labuhan Batu Utara,0,1.754,0.001,0.02,0.003,0.018,0
Nias Utara,0,2.538,0.001,0.014,0.002,0.019,-
Nias Barat,0,2.489,0,0.004,-,0.002,-
Kota Sibolga,0,1.5,0.001,0.004,-,0.005,0.001
Kota Tanjung Balai,0,1.585,0.001,0.03,0.003,0.022,0.001
Kota Pematang Siantar,0,1.472,0.003,0.038,0.003,0.026,0
Kota Tebing Tinggi,0,1.425,0.002,0.016,0,0.016,0
Kota Medan,0,1.447,0.002,0.033,0.004,0.029,0.001
Kota Binjai,0,1.322,0.006,0.015,0.001,0.025,-
Kota Padangsidimpuan,0,1.68,0.011,0.011,0.001,0.006,0.004
Kota Gunungsitoli,0,1.963,-,0.002,-,0.007,-
Kepulauan Mentawai,0,1.421,0.008,0,-,0.033,0.003
Pesisir Selatan,0,1.724,0.003,0.011,0.001,0.021,0
Solok,0,2.032,0.003,0.041,0.001,0.024,-
Sijunjung,0,1.564,0.005,0.02,0,0.031,0.002
Tanah Datar,0,1.679,0.006,0.004,0,0.016,0
Padang Pariaman,0,1.445,0,0.004,0.001,0.009,0.002
Agam,0,1.713,0.005,0.01,0.001,0.021,0
Lima Puluh Kota,0,1.786,0.002,0.008,-,0.004,-
Pasaman,0,1.919,0.001,0.011,-,0.007,0.001
Solok Selatan,0,1.772,0.012,0.04,0.001,0.031,-
Dharmasraya,0,1.48,0.003,0.023,0.001,0.037,0
Pasaman Barat,0,1.86,0.022,0.008,0,0.017,0.001
Kota Padang,0,1.276,0.003,0.007,-,0.02,0.001
Kota Solok,0,1.433,0.001,0.01,-,0.015,0.003
Kota Sawah Lunto,0,1.5,0.001,0.019,-,0.036,0.005
Kota Padang Panjang,0,1.394,0.003,0.006,-,0.026,-
Kota Bukittinggi,0,1.279,0.003,0.012,0,0.019,0.002
Kota Payakumbuh,0,1.425,0.002,0.014,0.001,0.016,0
Kota Pariaman,0,1.243,0.001,0.002,0,0.013,0.006
Kuantan Singingi,0,1.358,0.005,0.015,0.002,0.049,0
Indragiri Hulu,0,1.45,0.001,0.023,0,0.051,0.001
Indragiri Hilir,0,1.434,0.01,0.017,0.005,0.096,0.001
Pelalawan,0,1.788,0.005,0.037,0.007,0.052,-
Siak,0,1.42,0.002,0.031,0.003,0.072,-
Kampar,0,1.506,0.007,0.018,0,0.046,-
Rokan Hulu,0,1.782,0,0.016,-,0.042,-
Bengkalis,0,1.422,0.005,0.029,0.001,0.072,0.001
Rokan Hilir,0,1.49,0,0.009,0.01,0.037,0.001
Kepulauan Meranti,0,1.513,0.003,0.018,0.005,0.102,0
Kota Pekanbaru,0,1.15,0.004,0.024,0.002,0.031,0.002
Kota Dumai,0,1.372,0.002,0.026,0.001,0.046,0.001
Kerinci,0,1.776,0.005,0.055,0.003,0.041,0.001
Merangin,0,1.588,0.008,0.016,0.004,0.043,0
Sarolangun,0,1.613,0.005,0.02,0.003,0.063,-
Batang Hari,0,1.517,0.009,0.009,0,0.086,0
Muaro Jambi,0,1.358,0.006,0.034,0.005,0.116,0
Tanjung Jabung Timur,0,1.512,0.028,0.042,0.002,0.126,-
Tanjung Jabung Barat,0,1.388,0.013,0.031,0.002,0.118,0.002
Tebo,0,1.608,0.01,0.011,0.001,0.072,-
Bungo,0,1.435,0.016,0.043,0,0.04,0
Kota Jambi,0,1.134,0.003,0.035,0.001,0.083,0.003
Kota Sungai Penuh,0,1.49,0.006,0.007,0,0.029,0
Ogan Komering Ulu,0,1.635,0.005,0.02,0.001,0.101,0.001
Ogan Komering Ilir,0,1.621,0.015,0.039,0.002,0.145,0.002
Muara Enim,0,1.523,0.015,0.033,0,0.131,0.001
Lahat,0,1.974,0.004,0.023,0.003,0.106,0.001
Musi Rawas,0,1.793,0.008,0.028,0,0.102,-
Musi Banyuasin,0,1.651,0.01,0.018,0.002,0.14,0.002
Banyu Asin,0,1.562,0.017,0.019,0,0.152,0.005
Ogan Komering Ulu Selatan,0,1.954,0.004,0.008,0.001,0.041,-
Ogan Komering Ulu Timur,0,1.526,0.007,0.025,0.002,0.09,0.003
Ogan Ilir,0,1.426,0.027,0.015,0,0.156,0.001
Empat Lawang,0,1.956,0.013,0.039,0.002,0.11,-
