Kabupaten/Kota,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Tahun
,Rata-rata Konsumsi Perkapita Seminggu Menurut Kelompok Padi-Padian Per Kabupaten/kota (Satuan Komoditas),,,,,,,2022
,PADI-PADIAN,"Beras (beras lokal, kualitas unggul, impor)",Beras ketan,Jagung basah dengan kulit,Jagung pipilan/beras jagung/jagung titil,Tepung terigu,Padi-padian lainnya,2022
,2022,2022,2022,2022,2022,2022,2022,2022
Simeulue,0,2.075,0.022,0.002,-,0.014,-,2022
Aceh Singkil,0,1.621,0.007,0.057,0,0.059,0,2022
Aceh Selatan,0,1.905,0.004,0.019,0.001,0.015,-,2022
Aceh Tenggara,0,1.972,0.003,0.012,-,0.003,-,2022
Aceh Timur,0,1.642,0.014,0.021,0.007,0.034,0,2022
Aceh Tengah,0,1.681,0.009,0.024,0.001,0.032,-,2022
Aceh Barat,0,1.522,0.008,0.036,0.003,0.013,0.003,2022
Aceh Besar,0,1.537,0.003,0.025,0.003,0.025,0.001,2022
Pidie,0,2.018,0.007,0.014,0,0.012,0,2022
Bireuen,0,1.563,0.008,0.045,0.001,0.017,0.001,2022
Aceh Utara,0,1.662,0.005,0.011,-,0.021,-,2022
Aceh Barat Daya,0,1.833,0.014,0.033,0,0.009,-,2022
Gayo Lues,0,2.097,0.027,0.046,0.015,0.022,0,2022
Aceh Tamiang,0,1.517,0.002,0.009,0.002,0.031,0.002,2022
Nagan Raya,0,1.871,0.023,0.04,0.002,0.033,0,2022
Aceh Jaya,0,1.901,0.011,0.047,0.001,0.017,0.001,2022
Bener Meriah,0,2.011,0.013,0.008,0.002,0.025,0,2022
Pidie Jaya,0,1.986,0.006,0.026,0.004,0.019,0,2022
Kota Banda Aceh,0,1.131,0.004,0.031,0,0.033,0.004,2022
Kota Sabang,0,1.428,0.008,0.028,0.001,0.022,0,2022
Kota Langsa,0,1.283,0.002,0.016,-,0.019,0.002,2022
Kota Lhokseumawe,0,1.368,0.004,0.024,0,0.019,-,2022
Kota Subulussalam,0,1.733,0.003,0.019,0.01,0.025,0.001,2022
Nias,0,2.285,0.002,0.002,0,0.018,-,2022
Mandailing Natal,0,2.133,0.002,0.007,0.002,0.007,-,2022
Tapanuli Selatan,0,2.162,0.004,0.029,0.001,0.01,-,2022
Tapanuli Tengah,0,1.938,0.001,0.012,0.001,0.006,-,2022
Tapanuli Utara,0,2.112,0.008,0.012,-,0.016,-,2022
Toba Samosir,0,1.885,0.002,0.01,0.008,0.012,-,2022
Labuhan Batu,0,1.796,0.008,0.006,-,0.015,-,2022
Asahan,0,1.507,0.015,0.019,0.001,0.034,0.004,2022
Simalungun,0,1.658,0.005,0.021,0.002,0.014,0.002,2022
Dairi,0,2.039,0.002,0.003,-,0.005,0.001,2022
Karo,0,1.992,0.004,0.004,0.002,0.007,-,2022
Deli Serdang,0,1.631,0.007,0.02,0.006,0.035,0,2022
Langkat,0,1.585,0.003,0.024,0.005,0.041,0,2022
Nias Selatan,0,2.574,0.002,-,-,0.016,-,2022
Humbang Hasundutan,0,2.269,0.003,0.005,0.002,0.007,-,2022
Pakpak Bharat,0,2.078,0.009,0.007,-,0.022,0.001,2022
Samosir,0,2.008,0.003,0.006,-,0.014,-,2022
Serdang Bedagai,0,1.559,0.003,0.018,0.001,0.025,0.002,2022
Batu Bara,0,1.539,0.002,0.021,0,0.022,0.002,2022
Padang Lawas Utara,0,2.371,0.001,0.004,0.002,0.015,-,2022
Padang Lawas,0,2.102,0.003,0.01,0,0.014,0,2022
Labuhan Batu Selatan,0,1.753,-,0.009,0.004,0.021,0.001,2022
Labuhan Batu Utara,0,1.649,0.002,0.019,0.004,0.02,0,2022
Nias Utara,0,2.538,0.002,0.006,0.001,0.009,-,2022
Nias Barat,0,2.497,0,-,-,0.006,-,2022
Kota Sibolga,0,1.454,0.001,0.003,-,0.005,-,2022
Kota Tanjung Balai,0,1.511,0.001,0.022,-,0.021,0.004,2022
Kota Pematang Siantar,0,1.438,0.003,0.02,0.001,0.014,0.001,2022
Kota Tebing Tinggi,0,1.432,0.004,0.016,-,0.02,-,2022
Kota Medan,0,1.448,0.002,0.027,0.001,0.021,0.001,2022
Kota Binjai,0,1.427,0.002,0.018,0,0.019,-,2022
Kota Padangsidimpuan,0,1.627,0.006,0.016,0.001,0.004,0.001,2022
Kota Gunungsitoli,0,2.135,0.001,0.003,-,0.012,0,2022
Kepulauan Mentawai,0,1.287,0.01,0.005,0,0.061,0.001,2022
Pesisir Selatan,0,1.622,0.016,0.009,0.004,0.013,0.001,2022
Solok,0,2.004,0.008,0.053,0.007,0.022,0.002,2022
Sijunjung,0,1.702,0.005,0.023,0,0.02,0,2022
Tanah Datar,0,1.656,0.001,0.008,0.003,0.011,0.001,2022
Padang Pariaman,0,1.521,0.002,0.003,0,0.011,0,2022
Agam,0,1.703,0.003,0.006,0.001,0.021,0.002,2022
Lima Puluh Kota,0,1.766,0.002,0.007,-,0.008,0.001,2022
Pasaman,0,2.094,0.003,0.025,-,0.01,0.002,2022
Solok Selatan,0,1.897,0.011,0.034,0,0.028,0.001,2022
Dharmasraya,0,1.386,0.003,0.011,0.002,0.028,0.001,2022
Pasaman Barat,0,2.095,0.004,0.009,0.001,0.01,0,2022
Kota Padang,0,1.338,0.003,0.018,0,0.021,0.001,2022
Kota Solok,0,1.479,0.003,0.011,0.001,0.021,0.001,2022
Kota Sawah Lunto,0,1.463,0.002,0.016,0,0.029,0.001,2022
Kota Padang Panjang,0,1.328,0.001,0.013,0.001,0.022,0,2022
Kota Bukittinggi,0,1.257,0.004,0.021,0.003,0.015,0,2022
Kota Payakumbuh,0,1.334,0.007,0.008,0.001,0.014,0.001,2022
Kota Pariaman,0,1.229,0.001,0.001,0,0.017,0.003,2022
Kuantan Singingi,0,1.435,0.005,0.031,0.002,0.046,-,2022
Indragiri Hulu,0,1.401,0.018,0.019,0.007,0.032,0.002,2022
Indragiri Hilir,0,1.346,0.009,0.027,0.003,0.083,0.003,2022
Pelalawan,0,1.666,0.01,0.039,0,0.057,0,2022
Siak,0,1.442,0.008,0.034,0.002,0.05,0.001,2022
Kampar,0,1.495,0.002,0.036,0.001,0.055,0,2022
Rokan Hulu,0,1.787,0.002,0.014,0.001,0.038,-,2022
Bengkalis,0,1.329,0.007,0.018,0.009,0.06,-,2022
Rokan Hilir,0,1.53,0.002,0.018,0.003,0.05,0.001,2022
Kepulauan Meranti,0,1.434,0.012,0.01,0.002,0.095,0,2022
Kota Pekanbaru,0,1.135,0.004,0.031,0.001,0.036,0,2022
Kota Dumai,0,1.431,0.001,0.019,0.001,0.046,0.001,2022
Kerinci,0,1.802,0.008,0.032,-,0.032,0.001,2022
Merangin,0,1.68,0.007,0.011,0,0.031,-,2022
Sarolangun,0,1.616,0.005,0.032,0,0.069,-,2022
Batang Hari,0,1.538,0.003,0.007,-,0.096,-,2022
Muaro Jambi,0,1.539,0.005,0.044,0.002,0.119,0.003,2022
Tanjung Jabung Timur,0,1.403,0.007,0.034,0.001,0.091,0.001,2022
Tanjung Jabung Barat,0,1.261,0.007,0.019,0.001,0.102,0,2022
Tebo,0,1.57,0.018,0.01,0.001,0.075,0,2022
Bungo,0,1.51,0.007,0.022,0.002,0.054,-,2022
Kota Jambi,0,1.184,0.002,0.039,0.001,0.081,0.001,2022
Kota Sungai Penuh,0,1.599,0.007,0.009,0.003,0.016,0.001,2022
Ogan Komering Ulu,0,1.658,0.007,0.015,0.001,0.113,0,2022
Ogan Komering Ilir,0,1.714,0.026,0.036,0.003,0.102,-,2022
Muara Enim,0,1.621,0.013,0.012,0.001,0.127,0,2022
Lahat,0,2.034,0.004,0.023,0.002,0.1,-,2022
Musi Rawas,0,1.723,0.006,0.027,0.001,0.072,-,2022
Musi Banyuasin,0,1.588,0.016,0.031,0,0.152,-,2022
Banyu Asin,0,1.693,0.02,0.036,0.003,0.153,0.016,2022
Ogan Komering Ulu Selatan,0,1.83,0.001,0.005,0,0.052,-,2022
Ogan Komering Ulu Timur,0,1.575,0.003,0.018,0,0.067,0.002,2022
Ogan Ilir,0,1.484,0.029,0.016,0,0.142,0.006,2022
Empat Lawang,0,1.875,0.008,0.012,0.004,0.094,0.001,2022
Penukal Abab Lematang Ilir,0,1.984,0.026,0.002,0.001,0.172,0.006,2022
Musi Rawas Utara,0,1.835,0.007,0.025,0.001,0.087,-,2022
Kota Palembang,0,1.277,0.006,0.036,0.001,0.144,0.002,2022
Kota Prabumulih,0,1.283,0.003,0.014,0.002,0.069,0.007,2022
Kota Pagar Alam,0,1.615,0.004,0.027,0.004,0.065,0.001,2022
