Kabupaten/Kota,Luas Panen Tanaman Padi (ha) (Ha),Produktivitas Tanaman Padi (ku/ha) (Ku/ha),Rekap Produksi Padi (ton) (Ton),Tahun
Bogor,56002.23,53.55,299893.8,2022
Sukabumi,95012.99,53.49,508220.48,2022
Cianjur,115877.18,53.33,617941.03,2022
Bandung,47537.79,60.84,289205.7,2022
Garut,75951.04,58.11,441316.2,2022
Tasikmalaya,81310.17,53.0,430961.73,2022
Ciamis,55844.25,54.74,305676.17,2022
Kuningan,48250.13,57.53,277583.76,2022
Cirebon,84892.18,58.27,494699.98,2022
Majalengka,100950.53,56.08,566087.34,2022
Sumedang,56662.01,52.62,298163.0,2022
Indramayu,245329.29,60.42,1482255.86,2022
Subang,177986.35,58.36,1038780.58,2022
Purwakarta,34396.95,54.87,188731.69,2022
Karawang,204326.26,60.05,1226880.08,2022
Bekasi,103088.97,53.91,555747.09,2022
Bandung Barat,29201.93,52.62,153648.29,2022
Pangandaran,30115.9,49.37,148670.61,2022
Kota Bogor,32.21,54.02,173.99,2022
Kota Sukabumi,2176.04,60.91,13254.34,2022
Kota Bandung,995.22,72.21,7186.11,2022
Kota Cirebon,159.8,53.93,861.82,2022
Kota Bekasi,454.07,41.15,1868.44,2022
Kota Depok,14.55,49.57,72.13,2022
Kota Cimahi,59.59,56.73,338.03,2022
Kota Tasikmalaya,9797.97,55.35,54233.66,2022
Kota Banjar,5978.36,52.31,31271.18,2022
Jawa Barat,1662403.96,56.75,9433723.09,2022
,,,,2022
Catatan,,,,2022
<sup>1</sup> Kualitas produksi gabah kering giling (GKG)/<i>The production form is dry unhusked paddy</i><sup>2</sup> Data masih bergabung dengan Provinsi Papua Barat/<i>The data were included in Papua Barat Province</i><sup>3</sup> Data masih bergabung dengan Provinsi Papua/<i>The data were included in Papua Province</i>,,,,2022
Bogor,50999.48,55.54,283266.58,2023
Sukabumi,93866.34,54.59,512391.58,2023
Cianjur,115749.72,56.17,650123.11,2023
Bandung,49366.27,60.8,300142.89,2023
Garut,74538.34,60.88,453787.94,2023
Tasikmalaya,69685.72,56.16,391379.69,2023
Ciamis,53976.46,55.42,299124.49,2023
Kuningan,44815.65,58.24,261023.34,2023
Cirebon,82797.11,59.89,495878.2,2023
Majalengka,100124.09,55.77,558430.27,2023
Sumedang,53525.51,53.64,287112.51,2023
Indramayu,230456.96,61.8,1424303.1,2023
Subang,174864.99,58.77,1027659.54,2023
Purwakarta,31884.84,58.5,186533.23,2023
Karawang,189064.62,59.87,1131976.57,2023
Bekasi,93338.02,53.28,497339.49,2023
Bandung Barat,26709.13,53.62,143212.52,2023
Pangandaran,30250.9,46.05,139300.3,2023
Kota Bogor,25.76,47.99,123.61,2023
Kota Sukabumi,2699.69,59.96,16187.08,2023
Kota Bandung,901.17,70.19,6325.63,2023
Kota Cirebon,137.1,56.12,769.39,2023
Kota Bekasi,306.86,42.9,1316.49,2023
Kota Depok,5.82,52.42,30.51,2023
Kota Cimahi,76.61,57.5,440.48,2023
Kota Tasikmalaya,7863.88,50.83,39968.81,2023
Kota Banjar,5625.24,56.69,31891.85,2023
Jawa Barat,1583656.28,57.71,9140039.2,2023
Bogor,50168.52,59.73,299675.82,2024
Sukabumi,81612.3,57.2,466835.93,2024
Cianjur,105305.7,59.91,630847.78,2024
Bandung,51947.62,64.33,334188.58,2024
Garut,71635.66,63.51,454937.51,2024
Tasikmalaya,66324.47,53.29,353415.07,2024
Ciamis,44307.13,53.32,236248.23,2024
Kuningan,41522.97,53.81,223427.76,2024
Cirebon,84465.74,60.45,510632.02,2024
Majalengka,87220.48,55.5,484085.66,2024
Sumedang,49430.79,55.0,271869.0,2024
Indramayu,212866.19,65.74,1399352.12,2024
Subang,163881.64,59.12,968941.45,2024
Purwakarta,30629.17,58.9,180397.1,2024
Karawang,183065.46,56.89,1041530.95,2024
Bekasi,84199.55,49.46,416476.98,2024
Bandung Barat,27566.67,53.98,148802.98,2024
Pangandaran,24131.55,48.98,118188.45,2024
Kota Bogor,28.35,53.05,150.39,2024
Kota Sukabumi,2337.35,58.58,13693.1,2024
Kota Bandung,940.85,69.59,6547.7,2024
Kota Cirebon,99.81,63.94,638.23,2024
Kota Bekasi,282.68,42.86,1211.69,2024
Kota Depok,5.82,56.24,32.73,2024
Kota Cimahi,70.93,61.38,435.34,2024
Kota Tasikmalaya,6532.64,54.19,35403.54,2024
Kota Banjar,4782.04,60.46,28913.8,2024
Jawa Barat,1475362.09,58.47,8626879.91,2024
