Kabupaten/Regency,Jan,Feb,Mar,Apr,Mei,Jun,Jul,Ags,Sep,Okt,Nov,Des,Rata-rata/Average
1 Kab. Bogor,10729,10943,11186,10714,10714,10714,11000,11000,12214,12214,12000,12786,11351
2 Kab. Sukabumi,10875,11369,11169,11269,11131,11015,10638,11177,13731,13983,13985,13862,12012
3 Kab. Cianjur,11000,12121,12086,12121,12169,12169,12000,12143,14336,14329,14043,14021,12739
4 Kab. Bandung,11757,11943,11771,12043,11114,11986,12129,12143,12943,13143,13143,13057,12348
5 Kab. Garut,10760,11060,11360,11360,11360,11360,11360,11470,12850,13543,13461,13463,11951
6 Kab. Tasikmalaya,10669,12281,11063,11625,11688,11325,11425,12163,13250,13425,13438,13275,12135
7 Kab. Ciamis,10258,11329,11070,10911,10867,10733,10863,11100,12336,12393,12529,12707,11379
8 Kab. Kuningan,11129,12300,10857,10714,11000,10500,10929,11457,12900,12786,12371,12229,11595
9 Kab. Cirebon,10590,11120,10838,10825,10480,10773,10800,11180,12763,12700,12975,12736,11439
10 Kab. Majalengka,10394,11319,10225,10813,10250,10533,10525,10706,12767,12567,12633,12644,11319
11 Kab. Sumedang,12067,12033,12067,12000,12000,12133,12033,12238,12100,13688,12400,12225,12268
12 Kab. Indramayu,11280,11090,11100,11460,11330,11380,10930,11250,12300,14000,13850,13980,11996
13 Kab. Subang,10796,10889,10900,9839,9939,10944,11156,11322,11856,12222,12344,12544,11299
14 Kab. Purwakarta,10825,11175,10125,10300,10550,10475,10400,11133,13000,12600,12000,12600,11248
15 Kab. Karawang,10817,11308,10600,9918,9833,11238,11479,11308,13758,12545,12641,12496,11567
16 Kab. Bekasi,10767,11850,10550,10467,10233,10367,10950,11333,13400,13117,12717,12750,11542
17 Kab. Bandung Barat,9850,10300,10400,10425,10400,10400,10388,10388,12125,12275,12513,12450,10993
18 Kab. Pangandaran,10200,11650,9775,9650,10600,10400,10750,11200,13750,14250,12750,12750,11477
Jawa Barat,10866,11452,11080,11040,11072,11110,11164,11432,12984,13171,13024,13025,11788
